original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_taguan_mountain_peak,check_tfidf_塔關山,check_tfidf_南橫三星,check_tfidf_關山嶺山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
塔關山 - 2025-08-13T211722.124.gpx,HN_Taguan_0200.gpx,HN_Taguan,4.26,3.49,824.9,815.5,9.4,2023/2/12,209,TRUE,TRUE,FALSE,FALSE,0,1.510878369,0.425339394,0.593715751,塔關山 - 2025-08-13T211722.124.gpx,HN_Taguan
塔關山 (35).gpx,HN_Taguan_0125.gpx,HN_Taguan,4.67,3.52,846.3,850.6,4.3,2023/7/21,211,TRUE,TRUE,FALSE,FALSE,0,2.627467646,0.718991069,0.538521421,塔關山 (35).gpx,HN_Taguan
塔關山 - 2025-08-13T211908.570.gpx,HN_Taguan_0222.gpx,HN_Taguan,4.26,3.52,719.7,755.6,36,2022/12/10,211,TRUE,TRUE,FALSE,FALSE,0,0.301169922,0.472657223,0.405509062,塔關山 - 2025-08-13T211908.570.gpx,HN_Taguan
2022.07.30 塔關山.gpx,HN_Taguan_0025.gpx,HN_Taguan,4.06,3.52,659,675.5,16.6,2022/7/30,211,TRUE,TRUE,FALSE,FALSE,0,-1.072852017,0.366036926,0.293357034,2022.07.30 塔關山.gpx,HN_Taguan
塔關山20220803.gpx,HN_Taguan_0323.gpx,HN_Taguan,3.71,3.52,670.3,670.3,0,2022/8/3,211,TRUE,TRUE,FALSE,FALSE,0,-1.627501301,0.081169696,0.400193161,塔關山20220803.gpx,HN_Taguan
塔關山 - 2025-08-13T212437.319.gpx,HN_Taguan_0305.gpx,HN_Taguan,4.25,3.53,709.2,717.3,8.1,2022/5/29,211,TRUE,TRUE,FALSE,FALSE,0,-0.073068772,0.479003262,0.342554413,塔關山 - 2025-08-13T212437.319.gpx,HN_Taguan
20230304塔關山.gpx,HN_Taguan_0064.gpx,HN_Taguan,4.11,3.53,740.1,734.8,5.3,2023/3/4,211,TRUE,TRUE,FALSE,FALSE,0,0.04189372,0.347416488,0.438004276,20230304塔關山.gpx,HN_Taguan
塔關山 (43).gpx,HN_Taguan_0131.gpx,HN_Taguan,3.98,3.53,780.8,701.8,79,2023/7/9,212,TRUE,TRUE,FALSE,FALSE,0,-0.123585406,0.241191647,0.467487642,塔關山 (43).gpx,HN_Taguan
塔關山 (47).gpx,HN_Taguan_0133.gpx,HN_Taguan,3.96,3.53,731.5,730.9,0.6,2023/6/26,211,TRUE,TRUE,FALSE,FALSE,0,-0.306680668,0.230893224,0.468801976,塔關山 (47).gpx,HN_Taguan
塔關山20220521.gpx,HN_Taguan_0320.gpx,HN_Taguan,3.89,3.53,632.4,650.4,18,2022/5/21,211,TRUE,TRUE,FALSE,FALSE,0,-1.742715545,0.243441494,0.281577063,塔關山20220521.gpx,HN_Taguan
