original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_guanshanling_mountain_peak,check_tfidf_關山嶺山,check_tfidf_溪頭山,check_tfidf_塔關山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
2024_03_27關山嶺山.gpx,HN_Guanshanling_0082.gpx,HN_Guanshanling,2.42,3.32,459.5,471.8,12.3,2024/3/27 00:00,199,TRUE,TRUE,FALSE,FALSE,0,-1.343271714,0.056926255,0.476610229,2024_03_27關山嶺山.gpx,HN_Guanshanling
關山嶺山 (4).gpx,HN_Guanshanling_0174.gpx,HN_Guanshanling,2.62,3.31,498.2,495.8,2.4,2025/5/23 00:00,198,TRUE,TRUE,FALSE,FALSE,0,0.375790369,-0.309305626,0.46165317,關山嶺山 (4).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140307.413.gpx,HN_Guanshanling_0334.gpx,HN_Guanshanling,2.62,3.31,480,473.3,6.7,2022/11/20 00:00,198,TRUE,TRUE,FALSE,FALSE,0,-0.28305859,-0.386339344,0.446071059,關山嶺山 - 2025-08-14T140307.413.gpx,HN_Guanshanling
關山嶺山 (75).gpx,HN_Guanshanling_0203.gpx,HN_Guanshanling,2.61,3.31,487.5,480.6,6.9,2024/1/12 00:00,198,TRUE,TRUE,FALSE,FALSE,0,-0.07692968,-0.335022339,0.45420291,關山嶺山 (75).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140424.721.gpx,HN_Guanshanling_0358.gpx,HN_Guanshanling,2.62,3.29,491.2,490.6,0.7,2022/8/26 00:00,197,TRUE,TRUE,FALSE,FALSE,0,0.176089636,-0.350951561,0.436929367,關山嶺山 - 2025-08-14T140424.721.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135950.326.gpx,HN_Guanshanling_0278.gpx,HN_Guanshanling,2.57,3.29,480.2,479.1,1.1,2023/3/25 00:00,197,TRUE,TRUE,FALSE,FALSE,0,-0.362048141,-0.275260386,0.436894878,關山嶺山 - 2025-08-14T135950.326.gpx,HN_Guanshanling
關山嶺山 (40).gpx,HN_Guanshanling_0175.gpx,HN_Guanshanling,2.73,3.27,493.3,502.3,9,2024/4/14 00:00,196,TRUE,TRUE,FALSE,FALSE,0,0.774168905,-0.602091348,0.400066058,關山嶺山 (40).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135921.813.gpx,HN_Guanshanling_0270.gpx,HN_Guanshanling,2.74,3.26,506.1,510.8,4.6,2023/4/8 00:00,195,TRUE,TRUE,FALSE,FALSE,0,1.157447021,-0.595974971,0.399183845,關山嶺山 - 2025-08-14T135921.813.gpx,HN_Guanshanling
20220827，關山嶺山.gpx,HN_Guanshanling_0037.gpx,HN_Guanshanling,2.6,3.26,486.9,490.1,3.2,2022/8/28 00:00,195,TRUE,TRUE,FALSE,FALSE,0,0.026181359,-0.340734402,0.408821572,20220827，關山嶺山.gpx,HN_Guanshanling
南橫三星 關山嶺山.gpx,HN_Guanshanling_0109.gpx,HN_Guanshanling,2.59,3.26,487.4,500.2,12.8,2023/1/6 00:00,195,TRUE,TRUE,FALSE,FALSE,0,0.157954994,-0.295687204,0.411755268,南橫三星 關山嶺山.gpx,HN_Guanshanling
