順序	緯度	經度	海拔（約）	類型	名稱
219	23.470874	120.924720	2938.8	gpx	N/A
220	23.470532	120.924766	2942	gpx	N/A
221	23.470394	120.924819	2943.7	gpx	N/A
222	23.470193	120.924962	2947.8	gpx	N/A
223	23.470003	120.925041	2952.4	gpx	N/A
224	23.469720	120.925092	2959.7	gpx	N/A
225	23.469664	120.925140	2962	gpx	N/A
226	23.469600	120.925257	2964.1	gpx	N/A
227	23.469239	120.925337	2971.2	gpx	N/A
228	23.468858	120.925513	2975	gpx	N/A
229	23.468759	120.925544	2975.2	gpx	N/A
230	23.468575	120.925544	2974	gpx	N/A
231	23.468527	120.925562	2972.9	gpx	N/A
232	23.468478	120.925605	2971.6	gpx	N/A
233	23.468402	120.925823	2968.3	gpx	N/A
234	23.468353	120.925922	2966.5	gpx	N/A
235	23.468263	120.926004	2964.7	gpx	N/A
236	23.468104	120.926057	2962.9	gpx	N/A
237	23.468028	120.926100	2961.2	gpx	N/A
238	23.467854	120.926436	2956.7	gpx	N/A
239	23.467811	120.926467	2955.9	gpx	N/A
240	23.467718	120.926495	2955.4	gpx	N/A
241	23.467616	120.926480	2954.9	gpx	N/A
242	23.467418	120.926353	2954.4	gpx	N/A
243	23.467341	120.926335	2954.2	gpx	N/A
244	23.467253	120.926331	2954.4	gpx	N/A
245	23.467168	120.926372	2954.6	gpx	N/A
246	23.466812	120.926705	2957.5	gpx	N/A
247	23.466717	120.926818	2958.4	gpx	N/A
248	23.466671	120.926926	2959.4	gpx	N/A
249	23.466631	120.927138	2961.2	gpx	N/A
250	23.466392	120.927364	2963.1	gpx	N/A
251	23.466219	120.927579	2962.9	gpx	N/A
252	23.466155	120.927713	2962.7	gpx	N/A
253	23.466088	120.928061	2963.7	gpx	N/A
254	23.466062	120.928149	2965	gpx	N/A
255	23.466009	120.928253	2966.5	gpx	N/A
256	23.465831	120.928467	2971.1	gpx	N/A
257	23.465698	120.928673	2977.6	gpx	N/A
258	23.465524	120.928782	2985.3	gpx	N/A
259	23.465444	120.928856	2989.8	gpx	N/A
260	23.465401	120.928935	2995.1	gpx	N/A
261	23.465361	120.929057	3000.9	gpx	N/A
262	23.465337	120.929198	3006.3	gpx	N/A
263	23.465306	120.929289	3011.7	gpx	N/A
264	23.465268	120.929336	3017	gpx	N/A
265	23.465152	120.929402	3022	gpx	N/A
266	23.464869	120.929608	3033.3	gpx	N/A
267	23.464800	120.929696	3036.1	gpx	N/A
268	23.464717	120.929898	3040.5	gpx	N/A
269	23.464669	120.929954	3042.3	gpx	N/A
270	23.464390	120.930092	3044	gpx	N/A
271	23.464297	120.930105	3043.6	gpx	N/A
272	23.464164	120.930096	3042.8	gpx	N/A
273	23.464120	120.930123	3041.7	gpx	N/A
274	23.463945	120.930345	3038.2	gpx	N/A
275	23.463925	120.930488	3035.8	gpx	N/A
276	23.463926	120.930502	3034.2	gpx	N/A
277	23.463926	120.930502	3037.1	gpx	N/A
278	23.463934	120.930596	3038.5	gpx	N/A
279	23.464090	120.930631	3042	gpx	N/A
280	23.464119	120.930654	3044.2	gpx	N/A
281	23.464241	120.930892	3051.9	gpx	N/A
282	23.464422	120.930926	3058.3	gpx	N/A
283	23.464533	120.931077	3061.2	gpx	N/A
284	23.464617	120.931261	3065.3	gpx	N/A
285	23.464628	120.931373	3066.9	gpx	N/A
286	23.464611	120.931367	3068.2	gpx	N/A
287	23.464541	120.931446	3069.4	gpx	N/A
288	23.464535	120.931497	3070.4	gpx	N/A
289	23.464603	120.931571	3071.7	gpx	N/A
290	23.464685	120.931818	3074.3	gpx	N/A
291	23.464828	120.931828	3075.6	gpx	N/A
292	23.464886	120.931870	3076.9	gpx	N/A
293	23.464962	120.931880	3080.1	gpx	N/A
294	23.464994	120.931812	3083.1	gpx	N/A
295	23.465102	120.931771	3085.7	gpx	N/A
296	23.465129	120.931683	3088.2	gpx	N/A
297	23.465142	120.931679	3090	gpx	N/A
298	23.465194	120.931718	3091.4	gpx	N/A
299	23.465186	120.931829	3092.6	gpx	N/A
300	23.465202	120.931899	3093.5	gpx	N/A
301	23.465219	120.931914	3094.3	gpx	N/A
302	23.465412	120.931951	3096	gpx	N/A
303	23.465476	120.931976	3097	gpx	N/A
304	23.465545	120.932037	3098.3	gpx	N/A
305	23.465818	120.932097	3103.1	gpx	N/A
306	23.465941	120.932153	3105.1	gpx	N/A
307	23.466236	120.932351	3112	gpx	N/A
308	23.466257	120.932375	3114.7	gpx	N/A
309	23.466263	120.932500	3118	gpx	N/A
310	23.466502	120.932596	3126.2	gpx	N/A
311	23.466761	120.932603	3135.4	gpx	N/A
312	23.467004	120.932639	3144.9	gpx	N/A
313	23.467115	120.932832	3154.2	gpx	N/A
314	23.467081	120.932916	3158.4	gpx	N/A
315	23.467134	120.933031	3162.3	gpx	N/A
316	23.467261	120.933162	3165.6	gpx	N/A
317	23.467358	120.933485	3173.6	gpx	N/A
318	23.467369	120.933675	3175.5	gpx	N/A
319	23.467465	120.933842	3178.1	gpx	N/A
320	23.467370	120.934130	3178	gpx	N/A
321	23.467458	120.934324	3174.7	gpx	N/A
322	23.467419	120.934418	3172.4	gpx	N/A
323	23.467316	120.934439	3170	gpx	N/A
324	23.467216	120.934649	3164.5	gpx	N/A
325	23.467050	120.934864	3159.1	gpx	N/A
326	23.466934	120.934982	3156.5	gpx	N/A
327	23.466840	120.935120	3154.1	gpx	N/A
328	23.466789	120.935114	3152	gpx	N/A
329	23.466892	120.935186	3149.8	gpx	N/A
330	23.466909	120.935255	3147.6	gpx	N/A
331	23.466944	120.935292	3145.4	gpx	N/A
332	23.467060	120.935304	3143.2	gpx	N/A
333	23.467202	120.935406	3141.1	gpx	N/A
334	23.467297	120.935455	3139.1	gpx	N/A
335	23.467504	120.935487	3136.4	gpx	N/A
336	23.467582	120.935515	3135.9	gpx	N/A
337	23.467836	120.935663	3137.2	gpx	N/A
338	23.467899	120.935735	3138.5	gpx	N/A
339	23.467965	120.935868	3140.7	gpx	N/A
340	23.468038	120.935953	3143.3	gpx	N/A
341	23.468185	120.936070	3149.4	gpx	N/A
342	23.468417	120.936174	3157.6	gpx	N/A
343	23.468641	120.936218	3167.2	gpx	N/A
344	23.468720	120.936250	3172.4	gpx	N/A
